"12,20, 3740"
"12,21, 5014"
"12,22, 992"
"12,23, 10572"
"12,24, 2774"
"12,25, 1091"
"13,1, 4348"
"13,2, 3125"
"13,3, 1752"
"13,4, 3900"
"13,5, 2353"
"13,6, 2181"
"13,7, 2014"
"13,8, 2482"
"13,9, 3979"
"13,10, 74"
"13,11, 937"
"13,12, 3313"
"13,14, 97"
"13,15, 2705"
"13,16, 8046"
"13,17, 1764"
"13,18, 2634"
"13,19, 2374"
"13,20, 1760"
"13,21, 3034"
"13,22, 2530"
"13,23, 8593"
"13,24, 936"
"13,25, 2555"
"14,1, 4380"
"14,2, 3157"
"14,3, 1784"
"14,4, 3932"
"14,5, 2385"
"14,6, 2213"
"14,7, 2046"
"14,8, 2513"
"14,9, 4011"
"14,10, 40"
"14,11, 969"
"14,12, 3345"
"14,13, 84"
"14,15, 2737"
"14,16, 8078"
"14,17, 1796"
"14,18, 2666"
"14,19, 2406"
"14,20, 1792"
"14,21, 3066"
"14,22, 2562"
"14,23, 8624"
"14,24, 968"
"14,25, 2587"
"15,1, 5705"
"15,2, 4482"
"15,3, 2272"
"15,4, 5257"
"15,5, 3710"
"15,6, 1315"
"15,7, 790"
"15,8, 826"
"15,9, 5335"
"15,10, 2673"
"15,11, 2152"
"15,12, 1185"
"15,13, 2653"
"15,14, 2695"
"15,16, 9403"
"15,17, 1115"
"15,18, 3991"
"15,19, 3731"
"15,20, 3117"
"15,21, 4391"
"15,22, 402"
"15,23, 9949"
"15,24, 2150"
"15,25, 433"
"16,1, 5302"
"16,2, 5340"
"16,3, 8359"
"16,4, 4855"
"16,5, 5738"
"16,6, 8788"
"16,7, 8621"
"16,8, 9089"
"16,9, 4933"
"16,10, 7927"
"16,11, 7358"
"16,12, 9920"
"16,13, 7907"
"16,14, 7949"
"16,15, 9312"
"16,17, 8371"
"16,18, 7031"
"16,19, 6771"
"16,20, 6841"
"16,21, 5912"
"16,22, 9138"
"16,23, 9547"
"16,24, 7356"
"16,25, 9162"
"17,1, 4629"
"17,2, 3407"
"17,3, 1197"
"17,4, 4182"
"17,5, 2635"
"17,6, 557"
"17,7, 515"
"17,8, 983"
"17,9, 4260"
"17,10, 1598"
"17,11, 1077"
"17,12, 1814"
"17,13, 1578"
"17,14, 1620"
"17,15, 1206"
"17,16, 8328"
"17,18, 2916"
"17,19, 2656"
"17,20, 2042"
"17,21, 3316"
"17,22, 1032"
"17,23, 8874"
"17,24, 1075"
"17,25, 1056"
"18,1, 3402"
"18,2, 2179"
"18,3, 3051"
"18,4, 2955"
"18,5, 1408"
"18,6, 3480"
"18,7, 3312"
"18,8, 3780"
"18,9, 3033"
"18,10, 2618"
"18,11, 2049"
"18,12, 4612"
"18,13, 2598"
"18,14, 2640"
"18,15, 4004"
"18,16, 7101"
"18,17, 3063"
"18,19, 975"
"18,20, 1533"
"18,21, 2089"
"18,22, 3829"
"18,23, 7647"
"18,24, 2048"
"18,25, 3854"
"19,1, 3163"
"19,2, 1940"
"19,3, 2812"
"19,4, 2716"
"19,5, 1169"
"19,6, 3241"
"19,7, 3073"
"19,8, 3541"
"19,9, 2794"
"19,10, 2379"
"19,11, 1810"
"19,12, 4373"
"19,13, 2359"
"19,14, 2401"
"19,15, 3765"
"19,16, 6861"
"19,17, 2824"
"19,18, 999"
"19,20, 1294"
"19,21, 1849"
"19,22, 3590"
"19,23, 7408"
"19,24, 1809"
"19,25, 3615"
"20,1, 3250"
"20,2, 2027"
"20,3, 2188"
"20,4, 2803"
"20,5, 1256"
"20,6, 2617"
"20,7, 2450"
"20,8, 2918"
"20,9, 2881"
"20,10, 1756"
"20,11, 1187"
"20,12, 3749"
"20,13, 1735"
"20,14, 1778"
"20,15, 3141"
"20,16, 6949"
"20,17, 2200"
"20,18, 1537"
"20,19, 1276"
"20,21, 1937"
"20,22, 2967"
"20,23, 7495"
"20,24, 1185"
"20,25, 2991"
"21,1, 2301"
"21,2, 1078"
"21,3, 3410"
"21,4, 1853"
"21,5, 789"
"21,6, 3839"
"21,7, 3672"
"21,8, 4140"
"21,9, 1931"
"21,10, 2977"
"21,11, 2409"
"21,12, 4971"
"21,13, 2957"
"21,14, 3000"
"21,15, 4363"
"21,16, 5999"
"21,17, 3422"
"21,18, 2082"
"21,19, 1821"
"21,20, 1892"
"21,22, 4188"
"21,23, 6545"
"21,24, 2407"
"21,25, 4213"
"22,1, 5543"
"22,2, 4320"
"22,3, 2110"
"22,4, 5095"
"22,5, 3548"
"22,6, 1153"
"22,7, 628"
"22,8, 665"
"22,9, 5174"
"22,10, 2511"
"22,11, 1990"
"22,12, 992"
"22,13, 2491"
"22,14, 2533"
"22,15, 443"
"22,16, 9241"
"22,17, 953"
"22,18, 3829"
"22,19, 3569"
"22,20, 2956"
"22,21, 4229"
"22,23, 9788"
"22,24, 1989"
"22,25, 306"
"23,1, 5272"
"23,2, 6005"
"23,3, 9024"
"23,4, 5122"
"23,5, 6403"
"23,6, 9453"
"23,7, 9285"
"23,8, 9753"
"23,9, 4653"
"23,10, 8591"
"23,11, 8022"
"23,12, 10585"
"23,13, 8571"
"23,14, 8613"
"23,15, 9977"
"23,16, 9659"
"23,17, 9036"
"23,18, 7695"
"23,19, 7435"
"23,20, 7506"
"23,21, 6576"
"23,22, 9802"
"23,24, 8021"
"23,25, 9827"
"24,1, 3764"
"24,2, 2541"
"24,3, 1262"
"24,4, 3317"
"24,5, 1769"
"24,6, 1782"
"24,7, 1545"
"24,8, 2013"
"24,9, 3395"
"24,10, 987"
"24,11, 1"
"24,12, 2845"
"24,13, 967"
"24,14, 1009"
"24,15, 2237"
"24,16, 7462"
"24,17, 1391"
"24,18, 2050"
"24,19, 1790"
"24,20, 1177"
"24,21, 2450"
"24,22, 2062"
"24,23, 8009"
"24,25, 2087"
"25,1, 5572"
"25,2, 4350"
"25,3, 2140"
"25,4, 5125"
"25,5, 3578"
"25,6, 1183"
"25,7, 658"
"25,8, 694"
"25,9, 5203"
"25,10, 2540"
"25,11, 2020"
"25,12, 1076"
"25,13, 2520"
"25,14, 2563"
"25,15, 440"
"25,16, 9271"
"25,17, 983"
"25,18, 3859"
"25,19, 3598"
"25,20, 2985"
"25,21, 4259"
"25,22, 293"
"25,23, 9817"
"25,24, 2018"
